episode,reward,length,xp,kill,death,quest_accepted,quest_completed,quest_proximity,quest_progress,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25,act_26
0,49.0087,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,30,49,30,24,34,28,52,49,37,31,32,47,40,31,41,42,27,51,58,28,41,47,55,17,23,29,27
1,49.0048,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,15,48,35,53,25,28,42,51,49,28,37,36,45,16,43,26,23,37,69,18,25,63,100,18,31,21,18
2,49.0049,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,18,88,66,50,24,26,73,24,30,17,20,72,67,20,22,10,13,77,75,8,30,21,99,20,13,5,12
3,49.0053,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,45,103,69,36,36,38,45,16,27,26,10,120,88,41,14,6,22,73,27,6,45,9,64,6,10,9,9
4,49.0083,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,25,7,101,80,17,19,11,8,20,25,11,81,105,42,33,6,15,155,13,8,143,5,45,6,5,2,12
5,49.0031,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,6,6,105,99,21,45,6,5,25,32,8,52,47,25,60,5,24,77,19,14,251,9,32,6,13,2,6
6,49.0068,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,10,8,138,77,7,52,7,9,25,38,9,49,44,34,91,8,17,110,11,10,185,11,8,10,19,5,8
7,49.0028,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,8,0,179,36,15,36,1,14,26,25,3,16,61,27,203,4,2,79,4,31,142,7,19,1,45,2,14
8,49.0073,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,15,6,59,23,14,54,6,19,107,33,3,5,48,21,183,5,6,55,11,33,103,16,44,5,87,19,20
9,49.0049,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,31,2,22,13,10,71,0,8,184,34,4,5,32,12,124,1,10,56,8,57,76,15,48,1,131,26,19
10,49.0048,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,47,3,10,27,19,26,12,8,109,74,3,4,44,47,65,5,20,78,22,63,62,9,21,3,129,29,61
11,49.0048,1000,0.0,0.0,0.0,0.0,0.0,0.05,0.0,30,6,16,12,31,58,6,5,72,85,7,0,43,42,111,3,31,49,7,105,79,6,23,7,74,42,50
